client_id,business_name,owner_first_name,trade,trade_confidence,license_class,roc_number,phone,city,zip,also_holds,email,website
deals-enterprises-llc,D.E.A.L.S ENTERPRISES LLC,Eduardo,plumbing,high,CR-77,363035,(520) 240-4802,Tucson,85713,,,
stark-contrast-llc,Stark Contrast LLC,Rory,landscaping,medium,KB-2,363034,(480) 277-1993,Scottsdale,85254,R-62|CR-21,,
land-west-construction-llc,Land West Construction LLC,Dustin,general,high,KB-1,363032,(480) 695-5623,Gilbert,85298,,,
any-hour-llc,Any Hour LLC,David,hvac,high,CR-39,363024,(623) 473-4918,Phoenix,85051,R-37|CR-11|CR-37|R-37|CR-11|CR-37,,
feller-flips-llc,"FELLER FLIPS, LLC",Jesse,general,high,B-3,363022,(480) 703-0955,Mesa,85202,,,
te-li,Te Li,Te,hvac,medium,B-1,363021,(626) 342-8790,Ontario,91762,C-58|R-11|A-11|C-14|C-24|C-3|C-16|A|C-4|C-49|C-38|C-40|C-45|C-58|R-11|A-11|C-14|C-24|C-3|C-16|A|C-4|C-49|C-38|C-40|C-45,,
redsands-building-co-llc,"RedSands Building Co., LLC",Justin,general,high,B,363019,(402) 760-0073,Gilbert,85233,,,
chaparral-insulation-inc,Chaparral Insulation Inc,Brandon,insulation,high,C-40,363017,(254) 756-5034,Waco,76710,,,
plumbers-plus-llc,PLUMBERS PLUS LLC,Kory,plumbing,high,CR-37,363016,(480) 979-3924,Chandler,85226,,,
first-solution-sealants-llc,First Solution Sealants LLC,Mario,painting,high,CR-34,363014,(480) 845-8461,BUCKEYE,85326,,,
slw-painting-llc,SLW Painting LLC,Steven,painting,high,R-34,363012,(480) 475-8721,Phoenix,85051,,,
maha-llc,MAHA LLC,Yamen,excavating,medium,KB-1,363009,(928) 817-7999,Yuma,85364,R-2|CR-57|KB-2|R-13|R-2|CR-57|KB-2|R-13,,
jiancai-chen,Jiancai Chen,Jiancai,roofing,high,C-42,363007,(626) 554-4892,Tucson,85745,,,
david-alexander-recalde,David Alexander Recalde,Sedrick,electrical,high,CR-11,363004,(720) 701-7359,Scottsdale,85260,,,
silver-basin-remodeling-llc,Silver Basin Remodeling LLC,Jeremy,carpentry,high,R-61,363002,(520) 235-4182,Tucson,85743,CR-37|CR-37,,
classic-electric-consulting-corp,Classic Electric & Consulting Corp.,Toby,electrical,high,C-11,363001,(805) 619-7795,Nipomo,93444,,,
sagg-tech-llc,Sagg Tech LLC,Luther,lowvoltage,high,CR-67,362995,(602) 628-2147,Pinon,86510,,,
fisher-company-llc,"Fisher & Company, LLC.",Mark,general,high,B,362991,(520) 262-1508,HOUSTON,77043,,,
mckinley-renovations-llc,Mckinley Renovations LLC,Conner,tile,high,CR-48,362990,(928) 732-6971,LAKE HAVASU CITY,86404,,,
lm-brothers-and-associates-inc,LM Brothers and Associates Inc,Juan,general,high,KB-1,362984,(323) 308-0647,Littlerock,93543,,,
mv-plumbing-llc,MV Plumbing LLC,MARCO,plumbing,high,CR-37,362977,(480) 408-7289,PHOENIX,85028,,,
helix-concrete-llc,HELIX CONCRETE LLC,Adrian,concrete,high,CR-9,362976,(602) 708-6840,MESA,85204,,,
paula-pollock-contracting-llc,Paula Pollock Contracting LLC,Paula,general,high,KB-1,362974,(623) 764-5589,Gilbert,85296,B|B,,
ga-constructions-llc,GA Constructions LLC,Roberto,general,high,KB-2,362973,(480) 239-8321,SCOTTSDALE,85259,,,
chunhui-zhang,Chunhui Zhang,Chunhui,general,high,B-1,362970,(626) 558-4080,Alhambra,91801,,,
pinnacle-tech-electric-llc,Pinnacle Tech Electric LLC,Zachary,electrical,high,CR-11,362965,(623) 236-4668,ANTHEM,85086,,,
grade-a-construction-llc,Grade A Construction LLC,Armando,excavating,high,A-5,362964,(520) 809-5603,TUCSON,85735,,,
jrp-flooring-llc,JRP FLOORING LLC,Efrain,flooring,high,CR-8,362962,(480) 307-5494,PHOENIX,85023,CR-48|CR-48,,
1-services-llc,&1 Services LLC,Richard,handyman,high,R-62,362961,(928) 554-5173,Rimrock,86335,,,
advance-ac-refrigeration-llc,"ADVANCE A/C & REFRIGERATION, LLC",sheng,hvac,high,CR-39,362955,(646) 727-6868,PHOENIX,85053,,,
dc-construction-pros-llc,"DC Construction Pros, LLC",Daniel,general,high,KB-1,362949,(520) 403-2360,TUCSON,85748,,,
exl-holdings-llc,EXL Holdings LLC,Robert,lowvoltage,high,CR-67,362947,(602) 295-9338,Phoenix,85028,,,
red-rock-power-llc,Red Rock Power LLC,Johnny,electrical,high,CR-11,362946,(720) 539-3897,CHANDLER,85226,,,
vmb-granite-llc,VMB Granite LLC,Naitsha,handyman,high,R-62,362943,(623) 666-1922,Glendale,85303,,,
