client_id,business_name,owner_first_name,trade,trade_confidence,license_class,roc_number,phone,city,zip,also_holds,email,website
deals-enterprises-llc,D.E.A.L.S ENTERPRISES LLC,Eduardo,plumbing,high,CR-77,363035,(520) 240-4802,Tucson,85713,,,
jiancai-chen,Jiancai Chen,Jiancai,roofing,high,C-42,363007,(626) 554-4892,Tucson,85745,,,
silver-basin-remodeling-llc,Silver Basin Remodeling LLC,Jeremy,carpentry,high,R-61,363002,(520) 235-4182,Tucson,85743,CR-37|CR-37,,
grade-a-construction-llc,Grade A Construction LLC,Armando,excavating,high,A-5,362964,(520) 809-5603,TUCSON,85735,,,
dc-construction-pros-llc,"DC Construction Pros, LLC",Daniel,general,high,KB-1,362949,(520) 403-2360,TUCSON,85748,,,
bonzer-fabrication-and-design-llc,BONZER FABRICATION AND DESIGN LLC,Robert,welding,high,CR-24,363045,(520) 891-2293,TUCSON,85749,,,
rauson-renovations-llc,RAUSON RENOVATIONS LLC,Kevin,general,high,KB-2,362985,(253) 377-3413,Corona de Tucson,85641,,,
my-plumber-plumbing-services-llc,My Plumber Plumbing Services LLC,Joseph,plumbing,high,R-37R,362978,(520) 313-7513,Tucson,85746,C-37,,
escalante-concrete-construction-inc,Escalante Concrete Construction Inc,Brian,concrete,medium,KB-1,362856,(520) 887-8682,Tucson,85704,C-9|R-9,,
gila-carpentry-and-restoration-llc,Gila Carpentry and Restoration LLC,Corey,carpentry,high,CR-60,362852,(650) 704-1932,TUCSON,85711,,,
apex-drywall-solutions-llc,APEX DRYWALL SOLUTIONS LLC,miguel,sheetrock,high,CR-10,362813,(520) 406-8965,SAHUARITA,85629,,,
honestly-hvac-llc,Honestly HVAC LLC,James,hvac,high,CR-39,362811,(520) 820-5422,TUCSON,85732,,,
grand-valley-llc,GRAND VALLEY LLC,Carlos,roofing,high,CR-42,362807,(520) 252-5856,Tucson,85746,,,
romero-industries-llc,Romero Industries LLC,Jaime,demolition,high,CR-57,362791,(520) 869-3891,Tucson,85746,,,
i-10-underground-llc,I-10 Underground LLC,Alejandro,plumbing,high,CR-80,362776,(619) 480-4791,Tucson,85757,,,
superior-air-heating-cooling-llc,Superior Air Heating & Cooling LLC,Robert,hvac,high,CR-39,362649,(520) 437-6627,Tucson,85754,,,
darwin-ashley-greenwell,Darwin Ashley Greenwell,Darwin,general,high,KB-2,362569,(650) 833-8149,Tucson,85719,,,
rojo-construction-llc,ROJO CONSTRUCTION LLC,David,welding,high,CR-24,362558,(520) 240-4021,TUCSON,85713,,,
john-joseph-lopez,John Joseph Lopez,John,painting,high,CR-34,362556,(559) 859-7435,Sierra Vista,85635,,,
