client_id,business_name,trade,license_class,roc_number,city,zip,owner,issued,missing,phone,email,website
josh-reynolds-construction-llc,Josh Reynolds Construction LLC,general,KB-2,352345,Tucson,85745,,,phone,,,
old-pueblo-hemp-company-llc,Old Pueblo Hemp Company LLC,general,KB-2,352340,Tucson,85745,,,phone,,,
saguaro-flooring-llc,Saguaro Flooring LLC,flooring,CR-8,352322,TUCSON,85719,,,phone,,,
felix-landscape-designs-llc,Felix Landscape Designs LLC,masonry,CR-31,352319,Sahuarita,85629,,,phone,,,
plumbtec-llc,Plumbtec LLC,plumbing,CR-37,352307,TUCSON,85711,,,phone,,,
tmto-llc,//TMTO LLC,sheetrock,CR-10,352303,TUCSON,85734,Daniel Ramirez,,phone,,,
custom-pool-connections-llc,Custom Pool Connections LLC,pools,KA-5,352290,Tucson,85715,Tracy Ann Johnson,,phone,,,
copper-valley-llc,Copper Valley LLC,electrical,CR-11,352279,Tucson,8510,Fernando Quintero IV,,phone,,,
majestic-developments-llc,Majestic Developments LLC,general,KB-2,352277,Tucson,85742,Cristian Alejandro Lopez,,phone,,,
gkg-contracting-llc,GKG Contracting LLC,general,KB-2,352276,Tucson,85749,Gregory Kent Geile,,phone,,,
marina-adilene-drywall-llc,Marina Adilene Drywall LLC,sheetrock,KB-1,352274,Tucson,85704,Leonor Perez,,phone,,,
jls-electric-llc,"JLS Electric, LLC",electrical,CR-11,352269,Vail,85706,MANUEL ALEJANDRO SANCHEZ MORAN,,phone,,,
redeemed-colors-llc,Redeemed Colors LLC,painting,CR-34,352260,TUCSON,85742,Luis Ernesto Hernandez,,phone,,,
shade-of-grey-concrete-homes-llc,Shade of Grey Concrete & Homes LLC,concrete,KB-2,352240,Rio Rico,85648,Carlos Fernando Esquer Jr,,phone,,,
cubs-building-co-llc,Cub's Building Co. LLC,general,KB-1,352235,Tucson,85718,Christopher Lee Kemmerly,,phone,,,
aero-maxx-heating-and-cooling-llc,Aero Maxx Heating and Cooling LLC,hvac,CR-39,352232,TUCSON,85706,Joe Moreno Jr,,phone,,,
jjmg-plumbing-llc,JJMG Plumbing LLC,plumbing,CR-37,352230,Tucson,85705,Dimitre Ivanov Bobev,,phone,,,
dream-team-roofing-and-construction-llc,DREAM TEAM ROOFING AND CONSTRUCTION LLC,roofing,KB-2,352211,Tucson,85749,Jacob Levon Martin,,phone,,,
3r-solutions-llc,3R Solutions LLC,carpentry,CR-61,352206,Tucson,85716,Hassan Abd El Alim Nasr,,phone,,,
arizona-sun-builders-llc,Arizona Sun Builders LLC,general,B-2,352183,Tucson,85757,Miguel Nieblas Jr,,phone,,,
apex-windows-and-bath-accessories-acc,Apex Windows and Bath Accessories ACC,plumbing,R-37R,352170,Tucson,85714,Cody Ray Lashley,,phone,,,
ab-contracting-llc,AB Contracting LLC,general,KB-2,352164,Tucson,85706,Antonio Badilla Burrola,,phone,,,
pure-desert-water-plumbing-llc,Pure Desert Water Plumbing LLC,plumbing,R-54,352150,Tucson,85757,Armando Pena,,phone,,,
jj-comfort-systems-llc,J&J Comfort Systems LLC,hvac,CR-39,352148,Sahuarita,85629,Jose Luis Lopez,,phone,,,
cm-innovations-llc,CM Innovations LLC,carpentry,CR-61,352131,TUCSON,85746,Claudia Maldonado,,phone,,,
ridgeline-renovations-llc,Ridgeline Renovations LLC,carpentry,CR-61,352128,Vail,85641,Cody Michael Nelson,,phone,,,
